DATE,DBS_Return,SPH_Return,GE_Return,SIA_Return
6/1/2004,0.0764,0.0336,-0.017,-0.0089
7/1/2004,0.0181,0.0047,0.0103,0.0225
8/1/2004,0.0256,0.0972,0.0086,-0.018
9/1/2004,-0.025,-0.0084,0,-0.0183
10/1/2004,0.0128,0.0043,0.0256,0.028
11/1/2004,0.019,0.0196,0.0833,0.0459
12/1/2004,-0.0186,-0.0304,0,0.0263
1/1/2005,-0.057,0.0224,0.0231,0.0256
2/1/2005,0,0,0.0526,-0.0083
3/1/2005,-0.0403,-0.0247,0.0236,-0.0588
4/1/2005,-0.0049,-0.0092,0.0142,0.0268
5/1/2005,0.0288,-0.0046,0.007,-0.0261
6/1/2005,0.1259,0.0651,0.0208,0.0625
7/1/2005,-0.0217,-0.0131,0.0218,0.0168
8/1/2005,0.0128,0.0221,0.0403,-0.017
9/1/2005,-0.0316,-0.0303,-0.0258,-0.0345
10/1/2005,0.0817,0.0045,-0.0199,0.0536
11/1/2005,0.0061,-0.0012,-0.0068,0.0598
12/1/2005,-0.0061,0,0,0.1452
1/1/2006,0,0.0326,-0.0068,0.0423
2/1/2006,-0.0061,0.0135,-0.0342,-0.0541
3/1/2006,0.1025,-0.0333,0.027,0.0143
4/1/2006,-0.0185,-0.0701,-0.0071,-0.1268
5/1/2006,0.0462,0.0352,0.1357,0.0242
6/1/2006,0,-0.0534,0.0126,0.0236
7/1/2006,0.0039,0.0205,0.0447,0.0423
8/1/2006,0.0667,0.0301,-0.012,0.1061
9/1/2006,0.0625,0.0195,0.0061,0.0411
10/1/2006,0.0377,0.0431,-0.0121,0.0428
11/1/2006,0.0762,0.0207,0.0366,0.1146
12/1/2006,-0.0265,0.0981,0.0941,0.0057
1/1/2007,-0.0318,-0.0638,0.0591,-0.1023
2/1/2007,0.0047,0,0,0.0506
3/1/2007,0.007,0.0068,0.0142,0.0964
4/1/2007,0.1315,0.0046,-0.0256,0.011
5/1/2007,-0.046,0.0594,-0.0263,0.0217
6/1/2007,0.0132,-0.0302,0,0.0319
7/1/2007,-0.1255,-0.0356,-0.0151,0.0232
8/1/2007,0.08,-0.0046,0,-0.0215
9/1/2007,0.037,0.0602,-0.0389,0.0538
10/1/2007,-0.0937,-0.0087,-0.0173,-0.0765
11/1/2007,0.0298,0.033,-0.0235,-0.0291
12/1/2007,-0.1604,-0.0311,-0.0374,-0.1139
1/1/2008,-0.0023,0.0092,0.0113,-0.0039
2/1/2008,0.0381,0.0455,0.0025,0.017
3/1/2008,0.1144,-0.0152,0.0519,0.0256
4/1/2008,-0.0081,-0.0382,0.0975,-0.005
5/1/2008,-0.0328,-0.007,-0.0735,-0.0766
6/1/2008,0.018,-0.0518,-0.0781,0.0816
